episode,reward,score,steps,epsilon,loss_mean,ma100_reward
359,-1.2316,0,24,0.4884,0.067661,-0.4635
360,-2.5769,0,118,0.4874,0.071772,-0.4657
361,1.3787,0,33,0.4864,0.095893,-0.4419
362,0.8504,0,83,0.4854,0.071906,-0.4349
363,4.6017,1,59,0.4845,0.074499,-0.3796
364,-1.183,0,22,0.4835,0.083743,-0.381
365,-1.0256,0,16,0.4825,0.06415,-0.3827
366,-1.0,0,1,0.4816,0.025505,-0.3826
367,0.5709,0,50,0.4806,0.075359,-0.3701
368,-1.0156,0,42,0.4796,0.080749,-0.387
369,0.4513,0,62,0.4787,0.075661,-0.3645
370,-0.3415,0,117,0.4777,0.068477,-0.3509
371,-1.0,0,1,0.4768,0.179897,-0.3509
372,1.1651,0,46,0.4758,0.076872,-0.3252
373,4.1194,1,59,0.4749,0.079165,-0.27
374,-1.4165,0,54,0.4739,0.089792,-0.2693
375,0.1901,0,37,0.473,0.076794,-0.247
376,-1.0151,0,12,0.472,0.059085,-0.2472
377,0.9221,0,193,0.4711,0.069936,-0.2239
378,-3.3915,0,379,0.4701,0.082091,-0.2478
379,-1.0,0,1,0.4692,0.048787,-0.2478
380,1.6293,0,69,0.4682,0.069676,-0.2215
381,0.772,0,70,0.4673,0.078497,-0.2128
382,-0.2978,0,79,0.4664,0.078473,-0.2099
383,-0.2159,0,20,0.4654,0.088499,-0.2003
384,-1.4164,0,75,0.4645,0.071471,-0.2042
385,0.5919,0,52,0.4636,0.088669,-0.1857
386,-0.9705,0,16,0.4627,0.102068,-0.1852
387,0.273,0,94,0.4617,0.077867,-0.1769
388,0.3959,0,49,0.4608,0.064226,-0.1658
389,2.6913,1,198,0.4599,0.071538,-0.1473
390,1.6241,0,43,0.459,0.079594,-0.1232
391,-1.0,0,1,0.458,0.038242,-0.1198
392,-0.2572,0,121,0.4571,0.071933,-0.121
393,-1.6629,0,231,0.4562,0.073989,-0.1276
394,-1.4965,0,34,0.4553,0.086016,-0.1148
395,-1.0,0,1,0.4544,0.045657,-0.1523
396,0.0269,0,69,0.4535,0.069183,-0.13
397,-1.0508,0,61,0.4526,0.076678,-0.1393
398,-1.4245,0,15,0.4517,0.065619,-0.1509
399,2.9389,1,140,0.4508,0.071378,-0.1036
400,-1.2502,0,80,0.4499,0.069196,-0.1058
401,-1.0178,0,16,0.449,0.082202,-0.1125
402,-0.7283,0,23,0.4481,0.085318,-0.0955
403,-1.1873,0,37,0.4472,0.065849,-0.1206
404,-0.4296,0,53,0.4463,0.0727,-0.1291
405,-0.0731,0,88,0.4454,0.071504,-0.1242
406,0.6503,0,215,0.4445,0.07728,-0.1157
407,0.259,0,66,0.4436,0.078777,-0.1167
408,4.5799,1,77,0.4427,0.083328,-0.0703
409,-0.8695,0,18,0.4418,0.06513,-0.0564
410,-0.9312,0,17,0.441,0.087483,-0.0698
411,-1.0294,0,18,0.4401,0.077914,-0.0701
412,-1.0,0,1,0.4392,0.149389,-0.0638
413,-2.4064,0,400,0.4383,0.077819,-0.0754
414,-1.228,0,67,0.4374,0.072461,-0.1247
415,-0.7213,0,91,0.4366,0.076544,-0.1319
416,1.448,0,82,0.4357,0.084087,-0.1507
417,0.0188,0,22,0.4348,0.098874,-0.1417
418,0.4556,0,33,0.4339,0.094821,-0.1209
419,3.8433,1,91,0.4331,0.081755,-0.0889
420,-1.5397,0,320,0.4322,0.078505,-0.1057
421,-0.503,0,46,0.4313,0.078372,-0.1081
422,-2.0909,0,327,0.4305,0.078313,-0.1456
423,0.9676,0,100,0.4296,0.071406,-0.1231
424,-1.0347,0,6,0.4288,0.107953,-0.1203
425,-2.1844,0,389,0.4279,0.08,-0.1287
426,-0.6815,0,42,0.4271,0.080374,-0.1427
427,-1.0,0,1,0.4262,0.111204,-0.1431
428,-1.162,0,9,0.4253,0.109638,-0.1549
429,0.0898,0,78,0.4245,0.082568,-0.1578
430,-0.9695,0,3,0.4236,0.059005,-0.172
431,0.2981,0,129,0.4228,0.078181,-0.1683
432,0.3556,0,246,0.422,0.074158,-0.1591
433,0.8535,0,100,0.4211,0.078289,-0.149
434,-1.6226,0,332,0.4203,0.07508,-0.1717
435,-0.078,0,80,0.4194,0.068498,-0.1871
436,-0.2669,0,125,0.4186,0.076962,-0.1916
437,-0.9079,0,25,0.4177,0.062386,-0.186
438,-2.3256,0,372,0.4169,0.06907,-0.2165
439,-0.0196,0,108,0.4161,0.079905,-0.2067
440,-1.0,0,1,0.4152,0.042783,-0.2154
441,1.5894,0,70,0.4144,0.061658,-0.195
442,-1.0754,0,11,0.4136,0.06942,-0.1957
443,-1.3624,0,140,0.4128,0.068039,-0.2236
444,-1.4259,0,28,0.4119,0.082732,-0.2246
445,-1.2593,0,33,0.4111,0.076055,-0.2263
446,-1.6815,0,400,0.4103,0.070883,-0.2324
447,-0.8172,0,53,0.4095,0.066079,-0.2501
448,-0.7702,0,161,0.4087,0.064661,-0.2492
449,-0.0717,0,193,0.4078,0.069656,-0.2498
450,-0.8594,0,11,0.407,0.067388,-0.2476
451,0.9007,0,81,0.4062,0.070586,-0.2705
452,-0.8157,0,116,0.4054,0.083461,-0.2921
453,3.2813,1,67,0.4046,0.080309,-0.2547
454,-0.3496,0,144,0.4038,0.078173,-0.2649
455,-1.1388,0,14,0.403,0.090924,-0.2655
456,-0.9156,0,7,0.4022,0.098292,-0.2641
457,0.5405,0,93,0.4014,0.06824,-0.2545
458,-1.0,0,1,0.4006,0.045824,-0.2547
459,-0.7702,0,8,0.3997,0.059002,-0.2501
460,-0.9251,0,15,0.3989,0.088547,-0.2335
461,3.3447,1,46,0.3982,0.069906,-0.2139
462,-0.465,0,93,0.3974,0.078597,-0.227
463,-1.07,0,8,0.3966,0.064873,-0.2837
464,-1.6722,0,33,0.3958,0.072522,-0.2886
465,3.6423,1,63,0.395,0.077893,-0.242
466,1.0052,0,75,0.3942,0.079661,-0.2219
467,-1.0,0,1,0.3934,0.06672,-0.2376
468,0.5343,0,87,0.3926,0.065893,-0.2221
469,0.2163,0,45,0.3918,0.06013,-0.2245
470,0.4203,0,40,0.391,0.07219,-0.2168
